#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Zpi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Re / Ohm]"	"Zpi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Im / Ohm]"
#-------------------------------------------------------------------------------------------------------------------------------------------
0.80000000000000	0.73362844585425	4.8137054795521
0.80004000000000	0.73388214453898	4.8147716792274
0.80008000000000	0.73413598771288	4.8158382816750
0.80012000000000	0.73438997548671	4.8169052871240
0.80016000000000	0.73464410797139	4.8179726958036
0.80020000000000	0.73489838527790	4.8190405079431
0.80024000000000	0.73515280751736	4.8201087237720
0.80028000000000	0.73540737480097	4.8211773435199
0.80032000000000	0.73566208724006	4.8222463674168
0.80036000000000	0.73591694494606	4.8233157956927
0.80040000000000	0.73617194803049	4.8243856285776
0.80044000000000	0.73642709660501	4.8254558663021
0.80048000000000	0.73668239078136	4.8265265090966
0.80052000000000	0.73693783067139	4.8275975571919
0.80056000000000	0.73719341638708	4.8286690108188
0.80060000000000	0.73744914804049	4.8297408702084
0.80064000000000	0.73770502574381	4.8308131355918
0.80068000000000	0.73796104960933	4.8318858072006
0.80072000000000	0.73821721974943	4.8329588852663
0.80076000000000	0.73847353627663	4.8340323700206
0.80080000000000	0.73872999930356	4.8351062616954
0.80084000000000	0.73898660894290	4.8361805605229
0.80088000000000	0.73924336530752	4.8372552667352
0.80092000000000	0.73950026851034	4.8383303805650
0.80096000000000	0.73975731866442	4.8394059022446
0.80100000000000	0.74001451588292	4.8404818320070
0.80104000000000	0.74027186027910	4.8415581700851
0.80108000000000	0.74052935196633	4.8426349167121
0.80112000000000	0.74078699105811	4.8437120721212
0.80116000000000	0.74104477766804	4.8447896365459
0.80120000000000	0.74130271190982	4.8458676102200
0.80124000000000	0.74156079389726	4.8469459933772
0.80128000000000	0.74181902374429	4.8480247862515
0.80132000000000	0.74207740156495	4.8491039890772
0.80136000000000	0.74233592747339	4.8501836020886
0.80140000000000	0.74259460158386	4.8512636255202
0.80144000000000	0.74285342401072	4.8523440596068
0.80148000000000	0.74311239486847	4.8534249045832
0.80152000000000	0.74337151427168	4.8545061606845
0.80156000000000	0.74363078233506	4.8555878281460
0.80160000000000	0.74389019917342	4.8566699072031
0.80164000000000	0.74414976490167	4.8577523980913
0.80168000000000	0.74440947963486	4.8588353010465
0.80172000000000	0.74466934348813	4.8599186163046
0.80176000000000	0.74492935657673	4.8610023441017
0.80180000000000	0.74518951901604	4.8620864846742
0.80184000000000	0.74544983092153	4.8631710382585
0.80188000000000	0.74571029240879	4.8642560050912
0.80192000000000	0.74597090359354	4.8653413854093
0.80196000000000	0.74623166459158	4.8664271794497
0.80200000000000	0.74649257551885	4.8675133874496
0.80204000000000	0.74675363649139	4.8686000096465
0.80208000000000	0.74701484762535	4.8696870462778
0.80212000000000	0.74727620903699	4.8707744975813
0.80216000000000	0.74753772084270	4.8718623637949
0.80220000000000	0.74779938315897	4.8729506451567
0.80224000000000	0.74806119610241	4.8740393419049
0.80228000000000	0.74832315978973	4.8751284542781
0.80232000000000	0.74858527433777	4.8762179825148
0.80236000000000	0.74884753986347	4.8773079268538
0.80240000000000	0.74910995648389	4.8783982875342
0.80244000000000	0.74937252431621	4.8794890647950
0.80248000000000	0.74963524347771	4.8805802588757
0.80252000000000	0.74989811408580	4.8816718700158
0.80256000000000	0.75016113625798	4.8827638984550
0.80260000000000	0.75042431011191	4.8838563444331
0.80264000000000	0.75068763576531	4.8849492081903
0.80268000000000	0.75095111333603	4.8860424899667
0.80272000000000	0.75121474294207	4.8871361900029
0.80276000000000	0.75147852470150	4.8882303085394
0.80280000000000	0.75174245873253	4.8893248458171
0.80284000000000	0.75200654515349	4.8904198020769
0.80288000000000	0.75227078408279	4.8915151775599
0.80292000000000	0.75253517563900	4.8926109725076
0.80296000000000	0.75279971994078	4.8937071871614
0.80300000000000	0.75306441710691	4.8948038217630
0.80304000000000	0.75332926725628	4.8959008765544
0.80308000000000	0.75359427050791	4.8969983517776
0.80312000000000	0.75385942698093	4.8980962476749
0.80316000000000	0.75412473679458	4.8991945644886
0.80320000000000	0.75439020006822	4.9002933024615
0.80324000000000	0.75465581692133	4.9013924618362
0.80328000000000	0.75492158747351	4.9024920428559
0.80332000000000	0.75518751184447	4.9035920457637
0.80336000000000	0.75545359015402	4.9046924708029
0.80340000000000	0.75571982252213	4.9057933182171
0.80344000000000	0.75598620906885	4.9068945882500
0.80348000000000	0.75625274991436	4.9079962811455
0.80352000000000	0.75651944517896	4.9090983971477
0.80356000000000	0.75678629498306	4.9102009365009
0.80360000000000	0.75705329944720	4.9113038994496
0.80364000000000	0.75732045869202	4.9124072862383
0.80368000000000	0.75758777283830	4.9135110971120
0.80372000000000	0.75785524200692	4.9146153323156
0.80376000000000	0.75812286631887	4.9157199920944
0.80380000000000	0.75839064589531	4.9168250766937
0.80384000000000	0.75865858085744	4.9179305863592
0.80388000000000	0.75892667132665	4.9190365213365
0.80392000000000	0.75919491742441	4.9201428818716
0.80396000000000	0.75946331927232	4.9212496682108
0.80400000000000	0.75973187699209	4.9223568806002
0.80404000000000	0.76000059070556	4.9234645192864
0.80408000000000	0.76026946053469	4.9245725845162
0.80412000000000	0.76053848660154	4.9256810765363
0.80416000000000	0.76080766902834	4.9267899955938
