#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Spi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Magnitude / dB]"
#------------------------------------------------------------------------------------
0.80000000000000	-0.25256513662130
0.80004000000000	-0.25265146074104
0.80008000000000	-0.25273783330297
0.80012000000000	-0.25282425434356
0.80016000000000	-0.25291072389931
0.80020000000000	-0.25299724200675
0.80024000000000	-0.25308380870246
0.80028000000000	-0.25317042402302
0.80032000000000	-0.25325708800509
0.80036000000000	-0.25334380068533
0.80040000000000	-0.25343056210045
0.80044000000000	-0.25351737228720
0.80048000000000	-0.25360423128234
0.80052000000000	-0.25369113912268
0.80056000000000	-0.25377809584508
0.80060000000000	-0.25386510148641
0.80064000000000	-0.25395215608358
0.80068000000000	-0.25403925967356
0.80072000000000	-0.25412641229330
0.80076000000000	-0.25421361397985
0.80080000000000	-0.25430086477026
0.80084000000000	-0.25438816470159
0.80088000000000	-0.25447551381100
0.80092000000000	-0.25456291213563
0.80096000000000	-0.25465035971268
0.80100000000000	-0.25473785657938
0.80104000000000	-0.25482540277299
0.80108000000000	-0.25491299833081
0.80112000000000	-0.25500064329017
0.80116000000000	-0.25508833768845
0.80120000000000	-0.25517608156306
0.80124000000000	-0.25526387495142
0.80128000000000	-0.25535171789103
0.80132000000000	-0.25543961041938
0.80136000000000	-0.25552755257404
0.80140000000000	-0.25561554439257
0.80144000000000	-0.25570358591260
0.80148000000000	-0.25579167717178
0.80152000000000	-0.25587981820781
0.80156000000000	-0.25596800905840
0.80160000000000	-0.25605624976132
0.80164000000000	-0.25614454035436
0.80168000000000	-0.25623288087536
0.80172000000000	-0.25632127136218
0.80176000000000	-0.25640971185274
0.80180000000000	-0.25649820238496
0.80184000000000	-0.25658674299683
0.80188000000000	-0.25667533372635
0.80192000000000	-0.25676397461158
0.80196000000000	-0.25685266569060
0.80200000000000	-0.25694140700154
0.80204000000000	-0.25703019858253
0.80208000000000	-0.25711904047179
0.80212000000000	-0.25720793270754
0.80216000000000	-0.25729687532804
0.80220000000000	-0.25738586837160
0.80224000000000	-0.25747491187655
0.80228000000000	-0.25756400588127
0.80232000000000	-0.25765315042416
0.80236000000000	-0.25774234554369
0.80240000000000	-0.25783159127832
0.80244000000000	-0.25792088766659
0.80248000000000	-0.25801023474704
0.80252000000000	-0.25809963255828
0.80256000000000	-0.25818908113893
0.80260000000000	-0.25827858052766
0.80264000000000	-0.25836813076318
0.80268000000000	-0.25845773188422
0.80272000000000	-0.25854738392956
0.80276000000000	-0.25863708693802
0.80280000000000	-0.25872684094845
0.80284000000000	-0.25881664599974
0.80288000000000	-0.25890650213081
0.80292000000000	-0.25899640938063
0.80296000000000	-0.25908636778820
0.80300000000000	-0.25917637739255
0.80304000000000	-0.25926643823277
0.80308000000000	-0.25935655034795
0.80312000000000	-0.25944671377725
0.80316000000000	-0.25953692855985
0.80320000000000	-0.25962719473499
0.80324000000000	-0.25971751234192
0.80328000000000	-0.25980788141993
0.80332000000000	-0.25989830200838
0.80336000000000	-0.25998877414661
0.80340000000000	-0.26007929787407
0.80344000000000	-0.26016987323018
0.80348000000000	-0.26026050025443
0.80352000000000	-0.26035117898636
0.80356000000000	-0.26044190946552
0.80360000000000	-0.26053269173151
0.80364000000000	-0.26062352582397
0.80368000000000	-0.26071441178258
0.80372000000000	-0.26080534964704
0.80376000000000	-0.26089633945712
0.80380000000000	-0.26098738125259
0.80384000000000	-0.26107847507330
0.80388000000000	-0.26116962095910
0.80392000000000	-0.26126081894990
0.80396000000000	-0.26135206908564
0.80400000000000	-0.26144337140630
0.80404000000000	-0.26153472595190
0.80408000000000	-0.26162613276249
0.80412000000000	-0.26171759187818
0.80416000000000	-0.26180910333910
0.80420000000000	-0.26190066718541
0.80424000000000	-0.26199228345733
0.80428000000000	-0.26208395219511
0.80432000000000	-0.26217567343904
0.80436000000000	-0.26226744722944
0.80440000000000	-0.26235927360669
0.80444000000000	-0.26245115261117
0.80448000000000	-0.26254308428334
0.80452000000000	-0.26263506866368
0.80456000000000	-0.26272710579271
0.80460000000000	-0.26281919571099
0.80464000000000	-0.26291133845911
0.80468000000000	-0.26300353407771
0.80472000000000	-0.26309578260748
0.80476000000000	-0.26318808408912
0.80480000000000	-0.26328043856339
0.80484000000000	-0.26337284607109
0.80488000000000	-0.26346530665305
0.80492000000000	-0.26355782035013
0.80496000000000	-0.26365038720326
0.80500000000000	-0.26374300725338
0.80504000000000	-0.26383568054149
0.80508000000000	-0.26392840710861
0.80512000000000	-0.26402118699581
0.80516000000000	-0.26411402024421
0.80520000000000	-0.26420690689494
0.80524000000000	-0.26429984698920
0.80528000000000	-0.26439284056823
0.80532000000000	-0.26448588767327
0.80536000000000	-0.26457898834565
0.80540000000000	-0.26467214262671
0.80544000000000	-0.26476535055783
0.80548000000000	-0.26485861218045
0.80552000000000	-0.26495192753602
0.80556000000000	-0.26504529666607
0.80560000000000	-0.26513871961213
0.80564000000000	-0.26523219641579
0.80568000000000	-0.26532572711868
0.80572000000000	-0.26541931176246
0.80576000000000	-0.26551295038885
0.80580000000000	-0.26560664303959
0.80584000000000	-0.26570038975646
0.80588000000000	-0.26579419058131
0.80592000000000	-0.26588804555600
0.80596000000000	-0.26598195472243
0.80600000000000	-0.26607591812256
0.80604000000000	-0.26616993579838
0.80608000000000	-0.26626400779192
