#Parameters = {R_source=50; R_load=0.1; a_Pinet_sonet_L_nuH=0.355; a_Pinet_sonet_C1_nF=71.852; fmin=0.8; fmax=1.2; a_Pinet_sonet_C2_nF=355; tpr_height=0.03; tpr_substrate_height=525}
#"Frequency / MHz"	"Spi_sonet,pi_sonet (a_Pinet_sonet_C1_nF=71.852) [Magnitude]"
#-------------------------------------------------------------------------------
0.80000000000000	0.97134105057370
0.80004000000000	0.97133139701512
0.80008000000000	0.97132173813530
0.80012000000000	0.97131207393034
0.80016000000000	0.97130240439630
0.80020000000000	0.97129272952928
0.80024000000000	0.97128304932533
0.80028000000000	0.97127336378053
0.80032000000000	0.97126367289094
0.80036000000000	0.97125397665262
0.80040000000000	0.97124427506164
0.80044000000000	0.97123456811404
0.80048000000000	0.97122485580588
0.80052000000000	0.97121513813320
0.80056000000000	0.97120541509205
0.80060000000000	0.97119568667846
0.80064000000000	0.97118595288847
0.80068000000000	0.97117621371811
0.80072000000000	0.97116646916342
0.80076000000000	0.97115671922042
0.80080000000000	0.97114696388512
0.80084000000000	0.97113720315355
0.80088000000000	0.97112743702172
0.80092000000000	0.97111766548564
0.80096000000000	0.97110788854131
0.80100000000000	0.97109810618475
0.80104000000000	0.97108831841195
0.80108000000000	0.97107852521890
0.80112000000000	0.97106872660160
0.80116000000000	0.97105892255603
0.80120000000000	0.97104911307819
0.80124000000000	0.97103929816404
0.80128000000000	0.97102947780958
0.80132000000000	0.97101965201076
0.80136000000000	0.97100982076357
0.80140000000000	0.97099998406397
0.80144000000000	0.97099014190791
0.80148000000000	0.97098029429137
0.80152000000000	0.97097044121028
0.80156000000000	0.97096058266062
0.80160000000000	0.97095071863832
0.80164000000000	0.97094084913932
0.80168000000000	0.97093097415957
0.80172000000000	0.97092109369500
0.80176000000000	0.97091120774155
0.80180000000000	0.97090131629514
0.80184000000000	0.97089141935170
0.80188000000000	0.97088151690715
0.80192000000000	0.97087160895741
0.80196000000000	0.97086169549839
0.80200000000000	0.97085177652600
0.80204000000000	0.97084185203615
0.80208000000000	0.97083192202475
0.80212000000000	0.97082198648768
0.80216000000000	0.97081204542084
0.80220000000000	0.97080209882013
0.80224000000000	0.97079214668143
0.80228000000000	0.97078218900062
0.80232000000000	0.97077222577360
0.80236000000000	0.97076225699622
0.80240000000000	0.97075228266436
0.80244000000000	0.97074230277390
0.80248000000000	0.97073231732070
0.80252000000000	0.97072232630061
0.80256000000000	0.97071232970949
0.80260000000000	0.97070232754320
0.80264000000000	0.97069231979758
0.80268000000000	0.97068230646848
0.80272000000000	0.97067228755175
0.80276000000000	0.97066226304322
0.80280000000000	0.97065223293871
0.80284000000000	0.97064219723408
0.80288000000000	0.97063215592513
0.80292000000000	0.97062210900769
0.80296000000000	0.97061205647758
0.80300000000000	0.97060199833061
0.80304000000000	0.97059193456260
0.80308000000000	0.97058186516934
0.80312000000000	0.97057179014665
0.80316000000000	0.97056170949033
0.80320000000000	0.97055162319616
0.80324000000000	0.97054153125993
0.80328000000000	0.97053143367745
0.80332000000000	0.97052133044448
0.80336000000000	0.97051122155680
0.80340000000000	0.97050110701020
0.80344000000000	0.97049098680045
0.80348000000000	0.97048086092330
0.80352000000000	0.97047072937454
0.80356000000000	0.97046059214990
0.80360000000000	0.97045044924516
0.80364000000000	0.97044030065606
0.80368000000000	0.97043014637835
0.80372000000000	0.97041998640777
0.80376000000000	0.97040982074006
0.80380000000000	0.97039964937097
0.80384000000000	0.97038947229622
0.80388000000000	0.97037928951154
0.80392000000000	0.97036910101265
0.80396000000000	0.97035890679527
0.80400000000000	0.97034870685512
0.80404000000000	0.97033850118792
0.80408000000000	0.97032828978937
0.80412000000000	0.97031807265516
0.80416000000000	0.97030784978102
0.80420000000000	0.97029762116262
